m_disk,sb_law,scale_factor,r_in,d_r,inc,pa,mar_starflux,aug_starflux,jun_starflux,lnprob
-7.592474020695357595e+00,-3.800075353834131420e-02,4.480074902716868479e-02,1.614994549485257735e+01,2.910007419316714206e+01,9.206934672651129858e+01,1.285979150516600953e+02,3.670655147694254603e-04,5.444517328828474766e-05,2.524528955465578785e-04,-3.098972382812500000e+05
-7.562560810877926087e+00,5.048885495633776088e+00,-1.343376598688132695e-01,4.740486476106209324e+00,1.858662341771703197e+01,9.128234604592509527e+01,1.284798499423473288e+02,5.348389461575223840e-04,1.697116130461416442e-04,4.601016434458913814e-04,-inf
-7.438369411108690876e+00,5.097879063794430898e+00,-1.113970175783151988e-02,1.150621297115104369e+01,2.656724795984536769e+01,9.022679408345116769e+01,1.283430428795486193e+02,4.192029656498281955e-04,-3.165769670969935780e-05,2.435346005007795302e-04,-inf
-7.515680938978744230e+00,4.903543071020913580e+00,-4.763976149492837181e-02,1.090287405268455956e+01,2.608923811121478664e+01,8.943220880557895214e+01,1.285752610360190715e+02,4.211328008479691635e-04,2.468556685359337322e-04,1.995874010932490394e-04,-inf
-7.514731891463030777e+00,-6.214993917378865973e-01,8.484556549427506615e-04,6.436187363988844723e+00,1.816180537793405492e+01,9.142866456324766489e+01,1.285041840923717587e+02,4.169666022389319606e-04,1.083163110876001628e-04,3.110100395146396805e-04,-3.140075429687500000e+05
-7.503319861257017998e+00,1.666162384213218495e+00,7.764918926996011717e-02,1.258212367663079156e+01,3.923247069256261454e+01,9.104670869014285017e+01,1.283616303342505489e+02,3.791872888434644055e-04,2.037158828950756900e-04,2.197751981562312128e-04,-3.102692675781250000e+05
-7.590844376588396614e+00,-1.736435361430905822e+00,9.266875263741389257e-02,6.193308939825320714e+00,2.530832807803554019e+01,8.878698798073618548e+01,1.285512233589723508e+02,3.985935994300541336e-04,4.813631828512899419e-07,3.627920012880359404e-04,-3.235381621093750000e+05
-7.542408570553290836e+00,4.574665602422276933e+00,1.223006816146577497e-01,4.652993565222242722e+00,1.239456059929755760e+01,8.934888364462820221e+01,1.285313169012588617e+02,3.805543241631890918e-04,9.803421405793912946e-05,2.554012547490102877e-04,-3.275646933593750000e+05
-7.508061459309170793e+00,3.197455243766735844e+00,8.930929681851462743e-02,1.514199569767338005e+01,1.858209201559525070e+01,9.055039528306929242e+01,1.285753553109222196e+02,3.997010878457591776e-04,9.787399834685551916e-05,5.846623371508005034e-05,-3.107716738281250000e+05
-7.491817466589809626e+00,2.838265548938294192e+00,4.934057857449278967e-02,9.944817740249726867e+00,1.374459291568671127e+01,9.065052685943916799e+01,1.285640600476077395e+02,3.763743720915122362e-04,-3.791866530521184023e-05,2.483418357028562137e-04,-inf
-7.567042791133007817e+00,-1.031133496663939164e+00,8.933142783744105198e-02,1.285964199361396076e+01,2.693625374094777314e+01,8.905978320148109617e+01,1.285850961206123202e+02,4.408793856585145414e-04,-5.892970595294808110e-05,2.683350420341501659e-04,-inf
-7.587952899233875392e+00,4.166856410606192274e-01,1.269459064361095069e-01,1.716041086944402849e+01,2.631121367359452279e+01,9.009543189494426940e+01,1.285986892904180650e+02,3.203503004481905855e-04,5.464976319230380625e-05,2.739523861306354907e-04,-3.102954726562500000e+05
-7.554142416392619630e+00,3.179000285260006109e+00,3.850693494573662057e-02,1.789638049450365642e+00,4.966120552595041460e+01,9.091770484466034929e+01,1.285001395277485017e+02,2.867767977366403971e-04,1.092449876607743862e-04,4.620898143172216723e-04,-3.105925449218750000e+05
-7.522377962929823525e+00,1.431449140594655223e+00,4.704520272191793639e-02,1.546901473548214589e+01,2.895218705029887118e+01,8.922962877942475757e+01,1.284970926754581626e+02,2.989596416613622904e-04,1.623584312816957740e-04,3.095950015446324432e-04,-3.096898222656250000e+05
-7.521047454024961887e+00,1.494826455536026222e+00,3.545708156098115876e-02,2.004732386012988243e+01,2.904062367564199576e+01,8.971655779806008013e+01,1.284794345257005830e+02,2.253261991994398518e-04,2.396909545414172937e-04,4.446165898554269263e-04,-3.099590488281250000e+05
-7.560694393634828536e+00,7.221599708372494320e+00,8.247536321069601217e-02,1.060778200142125627e+01,3.213840061196509623e+01,9.062169704555158489e+01,1.285407191849804462e+02,4.582945682053772671e-04,-6.817527486016807167e-06,1.990619440349333390e-04,-inf
-7.489069947305052821e+00,-3.724128476588429160e-01,9.769899398378124877e-02,6.315954080919149227e+00,3.370662074541192510e+01,9.045576493959431730e+01,1.285101984901839387e+02,2.119151766006775153e-04,2.494133857430333055e-04,3.981889036042956121e-04,-3.129448652343750000e+05
-7.484888455007790320e+00,1.060433959491597022e+00,3.523629687519969078e-02,1.568165305147867450e+01,3.422446281008903668e+01,9.041628859533177831e+01,1.282602516098257013e+02,3.856031758328520094e-04,2.622581862046716042e-04,3.223351990975205166e-04,-3.098508164062500000e+05
-7.581759496511238261e+00,2.715782260741601561e+00,1.554911688747146192e-01,5.717570917845535838e+00,3.348844664106538715e+01,8.939010029561330839e+01,1.284847649553262272e+02,2.532341344186094033e-04,2.652063130881957245e-05,2.371438354953213270e-04,-3.104564218750000000e+05
-7.562806122224811745e+00,7.471829791900712614e-01,1.084791694151779201e-01,5.739285731571166060e+00,3.851436152253111089e+01,8.953482521577785747e+01,1.284710982559493004e+02,3.738086683396064187e-04,1.544842689768026163e-04,3.235550968436752247e-04,-3.101475312500000000e+05
-7.584349547576315409e+00,6.505559235242452942e-02,1.485095264580245031e-02,1.274985511526070070e+01,3.152987553266924792e+01,8.998927095040667723e+01,1.285805573494219516e+02,2.236822622665848100e-04,1.432860151182550196e-04,3.093650913615266645e-04,-3.102978906250000000e+05
-7.595685923609894807e+00,5.099104433939344538e+00,4.357541760192788077e-02,1.239946635175859768e+01,2.563650965329136611e+01,9.174387214171163407e+01,1.284790355108120536e+02,3.816695299799197126e-04,1.150155185122228997e-04,2.001555000011368316e-04,-3.097190859375000000e+05
-7.663738897809854400e+00,5.848272877740883224e-01,1.037196538124571937e-01,2.903915996788377640e+00,1.596783160886341157e+01,9.022610907145599413e+01,1.284300351910174243e+02,5.173337224477148532e-04,5.377193482878105991e-05,3.437044267762948200e-04,-3.231260273437500000e+05
-7.611540371707721242e+00,3.655218947966752729e+00,4.580504575929091743e-02,2.455328389953402191e+00,5.058132480536633580e+01,8.953499697151166004e+01,1.284288770573877230e+02,2.660152610707706674e-04,3.497693069163708901e-04,2.727555468058838429e-04,-3.110850859375000000e+05
-7.541232532569974722e+00,3.017380543570600704e+00,-1.591542163683545841e-02,5.965028287279721120e+00,3.854954821390192166e+01,8.960750116852948111e+01,1.283995537257689534e+02,2.148868915680128468e-04,6.097675816125681161e-05,2.818066328176531562e-04,-inf
-7.603976539542953716e+00,-8.558111084071543528e-01,4.334387366048473439e-02,1.023897315381431028e+01,3.560659158910803512e+01,8.968996704715685553e+01,1.285647671272463413e+02,2.461771946333877331e-04,8.534821024501079657e-05,3.555421896668467681e-04,-3.108694140625000000e+05
-7.592474020695356707e+00,-3.800075353834131420e-02,4.480074902716869173e-02,1.614994549485257735e+01,2.910007419316714206e+01,9.206934672651129858e+01,1.285979150516600953e+02,3.670655147694255145e-04,5.444517328828474089e-05,2.524528955465579327e-04,-3.098972382812500000e+05
-7.562560810877926087e+00,5.048885495633776088e+00,-1.343376598688132695e-01,4.740486476106209324e+00,1.858662341771703197e+01,9.128234604592509527e+01,1.284798499423473288e+02,5.348389461575223840e-04,1.697116130461416442e-04,4.601016434458913814e-04,-inf
-7.448921124118853321e+00,3.959410821409078185e+00,1.151163031917083746e-02,1.042602474501350152e+01,2.805308259508669977e+01,9.027444712507495694e+01,1.283778310329644228e+02,3.760625686314106536e-04,2.683835915074565901e-05,2.757210021556806209e-04,-3.173521796875000000e+05
-7.515680938978744230e+00,4.903543071020913580e+00,-4.763976149492837181e-02,1.090287405268455956e+01,2.608923811121478664e+01,8.943220880557895214e+01,1.285752610360190715e+02,4.211328008479691635e-04,2.468556685359337322e-04,1.995874010932490394e-04,-inf
-7.514862076459912110e+00,-5.778747943839228629e-01,1.561855896247590914e-03,6.716758689968186147e+00,1.838605443132806272e+01,9.139337228141189939e+01,1.285036739205179686e+02,4.130162486437527133e-04,1.110243845775949888e-04,3.137641201161580273e-04,-3.140032070312500000e+05
-7.501872675689629233e+00,1.612375267370838028e+00,7.818305494885069429e-02,1.258498553993425162e+01,3.944549134202626561e+01,9.103578557769742474e+01,1.283597908374404710e+02,3.791483972478290826e-04,2.051056345407240239e-04,2.200825983342110596e-04,-3.102717773437500000e+05
-7.590844376588396614e+00,-1.736435361430905822e+00,9.266875263741389257e-02,6.193308939825320714e+00,2.530832807803554019e+01,8.878698798073618548e+01,1.285512233589723508e+02,3.985935994300541336e-04,4.813631828512899419e-07,3.627920012880359404e-04,-3.235381621093750000e+05
-7.542408570553290836e+00,4.574665602422276933e+00,1.223006816146577497e-01,4.652993565222242722e+00,1.239456059929755760e+01,8.934888364462820221e+01,1.285313169012588617e+02,3.805543241631890918e-04,9.803421405793912946e-05,2.554012547490102877e-04,-3.275646933593750000e+05
-7.508061459309170793e+00,3.197455243766735844e+00,8.930929681851462743e-02,1.514199569767338005e+01,1.858209201559525070e+01,9.055039528306929242e+01,1.285753553109222196e+02,3.997010878457591776e-04,9.787399834685551916e-05,5.846623371508005034e-05,-3.107716738281250000e+05
-7.491817466589809626e+00,2.838265548938294192e+00,4.934057857449278967e-02,9.944817740249726867e+00,1.374459291568671127e+01,9.065052685943916799e+01,1.285640600476077395e+02,3.763743720915122362e-04,-3.791866530521184023e-05,2.483418357028562137e-04,-inf
-7.567042791133007817e+00,-1.031133496663939164e+00,8.933142783744105198e-02,1.285964199361396076e+01,2.693625374094777314e+01,8.905978320148109617e+01,1.285850961206123202e+02,4.408793856585145414e-04,-5.892970595294808110e-05,2.683350420341501659e-04,-inf
-7.588673458746320932e+00,1.492016724682128093e-01,1.236248628504557079e-01,1.849170604687159170e+01,2.547619232598463057e+01,9.017749234153343707e+01,1.286119435977876435e+02,3.281588015318859458e-04,5.792239286991064076e-05,2.782348060680083271e-04,-3.102783906250000000e+05
-7.554142416392619630e+00,3.179000285260006109e+00,3.850693494573662057e-02,1.789638049450365642e+00,4.966120552595041460e+01,9.091770484466034929e+01,1.285001395277485017e+02,2.867767977366403971e-04,1.092449876607743862e-04,4.620898143172216723e-04,-3.105925449218750000e+05
-7.522377962929823525e+00,1.431449140594655223e+00,4.704520272191793639e-02,1.546901473548214589e+01,2.895218705029887118e+01,8.922962877942475757e+01,1.284970926754581626e+02,2.989596416613622904e-04,1.623584312816957740e-04,3.095950015446324432e-04,-3.096898222656250000e+05
-7.521047454024961887e+00,1.494826455536026222e+00,3.545708156098115876e-02,2.004732386012988243e+01,2.904062367564199576e+01,8.971655779806008013e+01,1.284794345257005830e+02,2.253261991994398518e-04,2.396909545414172937e-04,4.446165898554269263e-04,-3.099590488281250000e+05
-7.560694393634828536e+00,7.221599708372494320e+00,8.247536321069601217e-02,1.060778200142125627e+01,3.213840061196509623e+01,9.062169704555158489e+01,1.285407191849804462e+02,4.582945682053772671e-04,-6.817527486016807167e-06,1.990619440349333390e-04,-inf
-7.489069947305052821e+00,-3.724128476588429160e-01,9.769899398378124877e-02,6.315954080919149227e+00,3.370662074541192510e+01,9.045576493959431730e+01,1.285101984901839387e+02,2.119151766006775153e-04,2.494133857430333055e-04,3.981889036042956121e-04,-3.129448652343750000e+05
-7.484888455007790320e+00,1.060433959491597022e+00,3.523629687519969078e-02,1.568165305147867450e+01,3.422446281008903668e+01,9.041628859533177831e+01,1.282602516098257013e+02,3.856031758328520094e-04,2.622581862046716042e-04,3.223351990975205166e-04,-3.098508164062500000e+05
-7.581759496511238261e+00,2.715782260741601561e+00,1.554911688747146192e-01,5.717570917845535838e+00,3.348844664106538715e+01,8.939010029561330839e+01,1.284847649553262272e+02,2.532341344186094033e-04,2.652063130881957245e-05,2.371438354953213270e-04,-3.104564218750000000e+05
-7.562806122224811745e+00,7.471829791900712614e-01,1.084791694151779201e-01,5.739285731571166060e+00,3.851436152253111089e+01,8.953482521577785747e+01,1.284710982559493004e+02,3.738086683396064187e-04,1.544842689768026163e-04,3.235550968436752247e-04,-3.101475312500000000e+05
-7.584349547576315409e+00,6.505559235242452942e-02,1.485095264580245031e-02,1.274985511526070070e+01,3.152987553266924792e+01,8.998927095040667723e+01,1.285805573494219516e+02,2.236822622665848100e-04,1.432860151182550196e-04,3.093650913615266645e-04,-3.102978906250000000e+05
-7.595685923609894807e+00,5.099104433939344538e+00,4.357541760192788077e-02,1.239946635175859768e+01,2.563650965329136611e+01,9.174387214171163407e+01,1.284790355108120536e+02,3.816695299799197126e-04,1.150155185122228997e-04,2.001555000011368316e-04,-3.097190859375000000e+05
-7.663738897809854400e+00,5.848272877740883224e-01,1.037196538124571937e-01,2.903915996788377640e+00,1.596783160886341157e+01,9.022610907145599413e+01,1.284300351910174243e+02,5.173337224477148532e-04,5.377193482878105991e-05,3.437044267762948200e-04,-3.231260273437500000e+05
-7.611540371707721242e+00,3.655218947966752729e+00,4.580504575929091743e-02,2.455328389953402191e+00,5.058132480536633580e+01,8.953499697151166004e+01,1.284288770573877230e+02,2.660152610707706674e-04,3.497693069163708901e-04,2.727555468058838429e-04,-3.110850859375000000e+05
-7.541232532569974722e+00,3.017380543570600704e+00,-1.591542163683545841e-02,5.965028287279721120e+00,3.854954821390192166e+01,8.960750116852948111e+01,1.283995537257689534e+02,2.148868915680128468e-04,6.097675816125681161e-05,2.818066328176531562e-04,-inf
-7.603976539542953716e+00,-8.558111084071543528e-01,4.334387366048473439e-02,1.023897315381431028e+01,3.560659158910803512e+01,8.968996704715685553e+01,1.285647671272463413e+02,2.461771946333877331e-04,8.534821024501079657e-05,3.555421896668467681e-04,-3.108694140625000000e+05
-7.592474020695356707e+00,-3.800075353834131420e-02,4.480074902716869173e-02,1.614994549485257735e+01,2.910007419316714206e+01,9.206934672651129858e+01,1.285979150516600953e+02,3.670655147694255145e-04,5.444517328828474089e-05,2.524528955465579327e-04,-3.098972382812500000e+05
-7.562560810877926087e+00,5.048885495633776088e+00,-1.343376598688132695e-01,4.740486476106209324e+00,1.858662341771703197e+01,9.128234604592509527e+01,1.284798499423473288e+02,5.348389461575223840e-04,1.697116130461416442e-04,4.601016434458913814e-04,-inf
-7.448921124118853321e+00,3.959410821409078185e+00,1.151163031917083746e-02,1.042602474501350152e+01,2.805308259508669977e+01,9.027444712507495694e+01,1.283778310329644228e+02,3.760625686314106536e-04,2.683835915074565901e-05,2.757210021556806209e-04,-3.173521796875000000e+05
-7.515680938978744230e+00,4.903543071020913580e+00,-4.763976149492837181e-02,1.090287405268455956e+01,2.608923811121478664e+01,8.943220880557895214e+01,1.285752610360190715e+02,4.211328008479691635e-04,2.468556685359337322e-04,1.995874010932490394e-04,-inf
