m_disk,sb_law,scale_factor,r_in,d_r,inc,pa,starflux,lnprob
-7.509473030871159693e+00,1.354666903712653969e+00,2.255408615589684848e-02,1.009914922144566418e+01,3.172146004568516275e+01,9.095547202440042156e+01,1.283955466683793816e+02,1.806009518607356841e-04,-3.134064687500000000e+05
-7.543695977607505654e+00,1.917673370204707517e+00,4.269514628965311032e-02,1.334954546157830002e+01,3.170567318247668354e+01,9.029146161088530675e+01,1.284540743820714965e+02,1.801225345807721536e-04,-3.132917128906250000e+05
-7.542891558094078519e+00,3.251464481247110960e+00,3.646887178710699062e-02,6.546085742727489887e+00,3.486884342644906098e+01,9.063887605098993561e+01,1.284872279984035117e+02,1.409037035433658748e-04,-3.132059277343750000e+05
-7.568575835468424273e+00,2.640537290877910781e+00,5.622551908131332571e-02,8.679977363559160608e+00,2.936169810188326679e+01,8.914106065166146209e+01,1.284003507790509957e+02,3.476487457237233754e-04,-3.133441582031250000e+05
-7.567471625777423938e+00,2.011138825123401919e+00,2.171287971459621297e-02,8.437244820709238979e+00,1.768965332214347796e+01,9.024607774098645052e+01,1.284691675302945555e+02,2.795043382542371463e-04,-3.200043476562500000e+05
-7.605073582744087624e+00,1.528788381852063782e+00,7.582411731480086237e-02,1.415177517625218861e+01,4.921638163884171746e+01,9.099712525192967405e+01,1.285712628929239258e+02,2.095855078117111179e-04,-3.152869062500000000e+05
-7.497329387887926799e+00,4.550386869001863399e-01,1.847070729404475670e-02,5.332625967056496386e+00,4.510136764611273463e+01,9.255547227499084784e+01,1.284358953016508735e+02,3.524331776099985181e-04,-3.135271738281250000e+05
-7.522514374965002304e+00,8.106663290065945215e-01,6.062662241507468797e-02,1.171408164712460653e+01,3.522612684489163826e+01,8.880266562751160109e+01,1.285358957467229857e+02,2.474506591051607736e-04,-3.133700195312500000e+05
-7.517723931360235312e+00,2.791136486430640939e+00,6.444096244175781529e-02,9.006909049723358152e+00,2.751433336330610757e+01,8.979209915915441798e+01,1.284743564621329028e+02,2.514967473053039346e-04,-3.136201386718750000e+05
-7.540552818223639875e+00,2.072259435401930361e+00,2.869619899805361460e-02,8.251814338486440192e+00,4.108743820285695847e+01,8.960341395208013182e+01,1.284642835042927231e+02,1.500932362721781065e-04,-3.136385585937500000e+05
-7.491752815628490048e+00,4.171501501728720473e-01,4.405886221127860991e-02,1.095509750181469144e+01,2.694828176300269718e+01,9.077281449810973868e+01,1.285568254775529340e+02,2.618727115262133986e-04,-3.149295703125000000e+05
-7.576901201237478567e+00,-1.757658016894828590e-01,4.974695300348892790e-02,1.615644934603804472e+01,3.621865134961880983e+01,8.878176847970705410e+01,1.285701947106485363e+02,3.123000009090615104e-04,-3.135716035156250000e+05
-7.643486307009342617e+00,4.595897629780935745e+00,5.230052658574598640e-02,3.341310319787363703e+00,3.805549366938388545e+01,9.262594601671109729e+01,1.284949777769048751e+02,3.925363289819231620e-04,-3.137184042968750000e+05
-7.485842086174234744e+00,3.463939293678806486e+00,5.832866787344789805e-02,1.200108237859714500e+01,2.486904367756481804e+01,9.124954529888071875e+01,1.285216545130192571e+02,3.415707446795111140e-04,-3.136559531250000000e+05
-7.499048757445163638e+00,3.480559406004948286e+00,-1.422838223909483890e-03,8.321724516137800620e+00,2.081769989968760370e+01,9.206267942650381997e+01,1.284324859112581123e+02,1.693581065878576133e-04,-inf
-7.510238123920260023e+00,-6.281613207049838721e-01,3.730316804162910060e-02,8.760613733831894123e+00,3.389028595014163869e+01,9.132590563943693951e+01,1.284936780908834351e+02,1.271266739775503397e-04,-3.155236035156250000e+05
-7.550306601988454602e+00,2.208111176106159146e+00,6.003283772457661260e-02,7.669577064966581759e-02,1.852908444590341475e+01,8.880945745620458354e+01,1.284895965817374872e+02,2.492573698579770517e-04,-3.317438242187500000e+05
-7.672801375637120280e+00,4.572193672199992953e+00,5.994119732918808813e-02,6.457467362397215638e+00,2.494513765130292171e+01,9.034590546622750651e+01,1.284802020713913748e+02,9.697027921737487650e-05,-3.141401386718750000e+05
-7.509473030871159693e+00,1.354666903712653969e+00,2.255408615589684848e-02,1.009914922144566418e+01,3.172146004568516275e+01,9.095547202440042156e+01,1.283955466683793816e+02,1.806009518607356841e-04,-3.134064687500000000e+05
-7.543844672316597944e+00,1.910360304850085233e+00,4.335740013710546320e-02,1.359070588451746175e+01,3.126184623954868869e+01,9.032401135907585399e+01,1.284535914150076792e+02,1.815431427112916974e-04,-3.132817363281250000e+05
-7.542891558094078519e+00,3.251464481247110960e+00,3.646887178710699062e-02,6.546085742727489887e+00,3.486884342644906098e+01,9.063887605098993561e+01,1.284872279984035117e+02,1.409037035433658748e-04,-3.132059277343750000e+05
-7.558746174739431112e+00,2.441201920588035534e+00,4.656903298081453008e-02,8.529790207179791750e+00,3.347474724224207421e+01,8.930324076382949272e+01,1.284227765226144697e+02,2.783520095411304665e-04,-3.131820996093750000e+05
-7.567471625777423938e+00,2.011138825123401919e+00,2.171287971459621297e-02,8.437244820709238979e+00,1.768965332214347796e+01,9.024607774098645052e+01,1.284691675302945555e+02,2.795043382542371463e-04,-3.200043476562500000e+05
-7.605073582744087624e+00,1.528788381852063782e+00,7.582411731480086237e-02,1.415177517625218861e+01,4.921638163884171746e+01,9.099712525192967405e+01,1.285712628929239258e+02,2.095855078117111179e-04,-3.152869062500000000e+05
-7.497329387887926799e+00,4.550386869001863399e-01,1.847070729404475670e-02,5.332625967056496386e+00,4.510136764611273463e+01,9.255547227499084784e+01,1.284358953016508735e+02,3.524331776099985181e-04,-3.135271738281250000e+05
-7.522514374965002304e+00,8.106663290065945215e-01,6.062662241507468797e-02,1.171408164712460653e+01,3.522612684489163826e+01,8.880266562751160109e+01,1.285358957467229857e+02,2.474506591051607736e-04,-3.133700195312500000e+05
-7.517723931360235312e+00,2.791136486430640939e+00,6.444096244175781529e-02,9.006909049723358152e+00,2.751433336330610757e+01,8.979209915915441798e+01,1.284743564621329028e+02,2.514967473053039346e-04,-3.136201386718750000e+05
-7.540552818223639875e+00,2.072259435401930361e+00,2.869619899805361460e-02,8.251814338486440192e+00,4.108743820285695847e+01,8.960341395208013182e+01,1.284642835042927231e+02,1.500932362721781065e-04,-3.136385585937500000e+05
-7.491752815628490048e+00,4.171501501728720473e-01,4.405886221127860991e-02,1.095509750181469144e+01,2.694828176300269718e+01,9.077281449810973868e+01,1.285568254775529340e+02,2.618727115262133986e-04,-3.149295703125000000e+05
-7.566486869183458808e+00,8.737104907137558385e-01,4.568097835492884035e-02,1.321359230685262531e+01,3.580531717078712006e+01,8.935044645218165726e+01,1.285447888900962141e+02,2.598155350747821625e-04,-3.134595175781250000e+05
-7.639721514275766623e+00,4.467881817465249483e+00,5.078560672011682431e-02,3.593697580628701260e+00,3.704683104645532410e+01,9.250807785432309061e+01,1.284936994681977183e+02,3.869381733301887716e-04,-3.135968867187500000e+05
-7.513868873997034292e+00,2.713251581600035767e+00,5.109456725498705970e-02,1.276918676292949328e+01,2.795803906404661632e+01,9.080232828531440248e+01,1.284887664965806380e+02,2.642455779163173694e-04,-3.131723574218750000e+05
-7.499048757445163638e+00,3.480559406004948286e+00,-1.422838223909483890e-03,8.321724516137800620e+00,2.081769989968760370e+01,9.206267942650381997e+01,1.284324859112581123e+02,1.693581065878576133e-04,-inf
-7.510238123920260023e+00,-6.281613207049838721e-01,3.730316804162910060e-02,8.760613733831894123e+00,3.389028595014163869e+01,9.132590563943693951e+01,1.284936780908834351e+02,1.271266739775503397e-04,-3.155236035156250000e+05
-7.533868300671465512e+00,1.664150262015655635e+00,4.713652305433678469e-02,1.707558505440677443e+00,2.677419897941847537e+01,8.997180850419033504e+01,1.284729336099644286e+02,2.812717942713314698e-04,-3.183001308593750000e+05
-7.638648423429315493e+00,4.224977412558016177e+00,5.377038416351544170e-02,6.480764903456036841e+00,2.755405401707790247e+01,9.042292666885037988e+01,1.284820491692781843e+02,1.085202618877273358e-04,-3.137291972656250000e+05
-7.527364383010022308e+00,1.203739325371533164e+00,2.981147110766804373e-02,1.107648384066987646e+01,3.300300375635023187e+01,9.045180346682761297e+01,1.284423799499433301e+02,2.054590572745928503e-04,-3.132567597656250000e+05
-7.532557096916185024e+00,1.586802588132547598e+00,4.350939713925046359e-02,1.301960647979016628e+01,3.032715726186302163e+01,9.042126071039228918e+01,1.284759607897805438e+02,1.989494346449806198e-04,-3.132022695312500000e+05
-7.542891558094078519e+00,3.251464481247110960e+00,3.646887178710699062e-02,6.546085742727489887e+00,3.486884342644906098e+01,9.063887605098993561e+01,1.284872279984035117e+02,1.409037035433658748e-04,-3.132059277343750000e+05
-7.558746174739431112e+00,2.441201920588035534e+00,4.656903298081453008e-02,8.529790207179791750e+00,3.347474724224207421e+01,8.930324076382949272e+01,1.284227765226144697e+02,2.783520095411304665e-04,-3.131820996093750000e+05
-7.567471625777423938e+00,2.011138825123401919e+00,2.171287971459621297e-02,8.437244820709238979e+00,1.768965332214347796e+01,9.024607774098645052e+01,1.284691675302945555e+02,2.795043382542371463e-04,-3.200043476562500000e+05
-7.605073582744087624e+00,1.528788381852063782e+00,7.582411731480086237e-02,1.415177517625218861e+01,4.921638163884171746e+01,9.099712525192967405e+01,1.285712628929239258e+02,2.095855078117111179e-04,-3.152869062500000000e+05
-7.553398592308178117e+00,1.950785273698982358e+00,3.247607317261033688e-02,5.788157215774802467e+00,3.813936205979195648e+01,9.170937157052361499e+01,1.284542071350770414e+02,2.556592144989485371e-04,-3.132084531250000000e+05
-7.522514374965002304e+00,8.106663290065945215e-01,6.062662241507468797e-02,1.171408164712460653e+01,3.522612684489163826e+01,8.880266562751160109e+01,1.285358957467229857e+02,2.474506591051607736e-04,-3.133700195312500000e+05
-7.517723931360235312e+00,2.791136486430640939e+00,6.444096244175781529e-02,9.006909049723358152e+00,2.751433336330610757e+01,8.979209915915441798e+01,1.284743564621329028e+02,2.514967473053039346e-04,-3.136201386718750000e+05
-7.540552818223639875e+00,2.072259435401930361e+00,2.869619899805361460e-02,8.251814338486440192e+00,4.108743820285695847e+01,8.960341395208013182e+01,1.284642835042927231e+02,1.500932362721781065e-04,-3.136385585937500000e+05
-7.491752815628490048e+00,4.171501501728720473e-01,4.405886221127860991e-02,1.095509750181469144e+01,2.694828176300269718e+01,9.077281449810973868e+01,1.285568254775529340e+02,2.618727115262133986e-04,-3.149295703125000000e+05
-7.566486869183458808e+00,8.737104907137558385e-01,4.568097835492884035e-02,1.321359230685262531e+01,3.580531717078712006e+01,8.935044645218165726e+01,1.285447888900962141e+02,2.598155350747821625e-04,-3.134595175781250000e+05
-7.647447061282051983e+00,5.123219769513990940e+00,4.520269940024538441e-02,1.239533243677618302e+00,3.433335203080634557e+01,9.284497921720495128e+01,1.284764049326453517e+02,4.264829973235152228e-04,-3.135662500000000000e+05
-7.514375452832119606e+00,2.601770543719132078e+00,5.165309329261721927e-02,1.270736340272892129e+01,2.838390905757970373e+01,9.068515904509261816e+01,1.284915280115841085e+02,2.632614879904435581e-04,-3.131686542968750000e+05
-7.499048757445163638e+00,3.480559406004948286e+00,-1.422838223909483890e-03,8.321724516137800620e+00,2.081769989968760370e+01,9.206267942650381997e+01,1.284324859112581123e+02,1.693581065878576133e-04,-inf
-7.510238123920260023e+00,-6.281613207049838721e-01,3.730316804162910060e-02,8.760613733831894123e+00,3.389028595014163869e+01,9.132590563943693951e+01,1.284936780908834351e+02,1.271266739775503397e-04,-3.155236035156250000e+05
-7.526781843996548815e+00,2.158832890899118340e+00,5.473218428077950004e-02,4.911556778145454771e+00,2.709907573018677596e+01,8.989292635877330895e+01,1.284735581608559585e+02,2.682022480877222317e-04,-3.154169453125000000e+05
-7.598015039042076424e+00,3.811877787738247481e+00,4.642867555171032584e-02,6.508483091194554149e+00,3.065800534988439807e+01,9.051456244057226286e+01,1.284842467490944102e+02,1.222618231634499473e-04,-3.133740585937500000e+05
-7.527364383010022308e+00,1.203739325371533164e+00,2.981147110766804373e-02,1.107648384066987646e+01,3.300300375635023187e+01,9.045180346682761297e+01,1.284423799499433301e+02,2.054590572745928503e-04,-3.132567597656250000e+05
-7.532557096916185024e+00,1.586802588132547598e+00,4.350939713925046359e-02,1.301960647979016628e+01,3.032715726186302163e+01,9.042126071039228918e+01,1.284759607897805438e+02,1.989494346449806198e-04,-3.132022695312500000e+05
-7.542891558094078519e+00,3.251464481247110960e+00,3.646887178710699062e-02,6.546085742727489887e+00,3.486884342644906098e+01,9.063887605098993561e+01,1.284872279984035117e+02,1.409037035433658748e-04,-3.132059277343750000e+05
-7.558746174739431112e+00,2.441201920588035534e+00,4.656903298081453008e-02,8.529790207179791750e+00,3.347474724224207421e+01,8.930324076382949272e+01,1.284227765226144697e+02,2.783520095411304665e-04,-3.131820996093750000e+05
-7.568305114339967332e+00,2.973847288568611358e+00,1.426510265470457006e-03,4.394589991249512551e+00,2.356728705781158340e+00,9.100413149767102539e+01,1.284051623346300062e+02,2.961687529540926581e-04,-3.178649960937500000e+05
-7.581141640122164738e+00,1.721378165665564897e+00,6.937680960097766802e-02,1.132725779989647208e+01,4.245564156045020354e+01,9.065959762798173927e+01,1.285413968549594301e+02,2.275032662803687876e-04,-3.143032871093750000e+05
-7.553398592308178117e+00,1.950785273698982358e+00,3.247607317261033688e-02,5.788157215774802467e+00,3.813936205979195648e+01,9.170937157052361499e+01,1.284542071350770414e+02,2.556592144989485371e-04,-3.132084531250000000e+05
-7.522514374965002304e+00,8.106663290065945215e-01,6.062662241507468797e-02,1.171408164712460653e+01,3.522612684489163826e+01,8.880266562751160109e+01,1.285358957467229857e+02,2.474506591051607736e-04,-3.133700195312500000e+05
-7.512523996739706611e+00,3.154127110110090726e+00,7.001454365294237925e-02,1.135795447434644956e+01,2.775272300445140061e+01,8.973421663510717394e+01,1.284748147481215597e+02,2.419065121860648391e-04,-3.132764199218750000e+05
-7.540552818223639875e+00,2.072259435401930361e+00,2.869619899805361460e-02,8.251814338486440192e+00,4.108743820285695847e+01,8.960341395208013182e+01,1.284642835042927231e+02,1.500932362721781065e-04,-3.136385585937500000e+05
-7.493311776417513670e+00,6.225712929647686522e-01,4.600694062835497533e-02,1.098533353992918649e+01,2.700865831770015291e+01,9.069486354600377354e+01,1.285506702420476302e+02,2.603741678608117961e-04,-3.146221386718750000e+05
-7.566486869183458808e+00,8.737104907137558385e-01,4.568097835492884035e-02,1.321359230685262531e+01,3.580531717078712006e+01,8.935044645218165726e+01,1.285447888900962141e+02,2.598155350747821625e-04,-3.134595175781250000e+05
-7.634827919891230330e+00,4.939053639246117733e+00,4.752331205349233367e-02,2.185893219970807877e+00,3.371787617865466302e+01,9.255403450000689247e+01,1.284762562051952841e+02,4.092198498307505301e-04,-3.135018984375000000e+05
-7.514375452832119606e+00,2.601770543719132078e+00,5.165309329261721927e-02,1.270736340272892129e+01,2.838390905757970373e+01,9.068515904509261816e+01,1.284915280115841085e+02,2.632614879904435581e-04,-3.131686542968750000e+05
-7.500996939446022083e+00,3.433365474271304230e+00,8.905217443144784750e-03,8.760687300082125262e+00,2.182033049443392514e+01,9.172604204287650020e+01,1.284386056005854755e+02,1.798467884500509610e-04,-3.155804238281250000e+05
-7.510238123920260023e+00,-6.281613207049838721e-01,3.730316804162910060e-02,8.760613733831894123e+00,3.389028595014163869e+01,9.132590563943693951e+01,1.284936780908834351e+02,1.271266739775503397e-04,-3.155236035156250000e+05
-7.526781843996548815e+00,2.158832890899118340e+00,5.473218428077950004e-02,4.911556778145454771e+00,2.709907573018677596e+01,8.989292635877330895e+01,1.284735581608559585e+02,2.682022480877222317e-04,-3.154169453125000000e+05
-7.576629550089636567e+00,3.084932828057107557e+00,4.547493038021242773e-02,8.635704827358946289e+00,3.054991536261120189e+01,9.048408022473709877e+01,1.284815396781781658e+02,1.473161101584976500e-04,-3.132451191406250000e+05
-7.527364383010022308e+00,1.203739325371533164e+00,2.981147110766804373e-02,1.107648384066987646e+01,3.300300375635023187e+01,9.045180346682761297e+01,1.284423799499433301e+02,2.054590572745928503e-04,-3.132567597656250000e+05
-7.532557096916185024e+00,1.586802588132547598e+00,4.350939713925046359e-02,1.301960647979016628e+01,3.032715726186302163e+01,9.042126071039228918e+01,1.284759607897805438e+02,1.989494346449806198e-04,-3.132022695312500000e+05
-7.542891558094078519e+00,3.251464481247110960e+00,3.646887178710699062e-02,6.546085742727489887e+00,3.486884342644906098e+01,9.063887605098993561e+01,1.284872279984035117e+02,1.409037035433658748e-04,-3.132059277343750000e+05
-7.558746174739431112e+00,2.441201920588035534e+00,4.656903298081453008e-02,8.529790207179791750e+00,3.347474724224207421e+01,8.930324076382949272e+01,1.284227765226144697e+02,2.783520095411304665e-04,-3.131820996093750000e+05
-7.568305114339967332e+00,2.973847288568611358e+00,1.426510265470457006e-03,4.394589991249512551e+00,2.356728705781158340e+00,9.100413149767102539e+01,1.284051623346300062e+02,2.961687529540926581e-04,-3.178649960937500000e+05
-7.581141640122164738e+00,1.721378165665564897e+00,6.937680960097766802e-02,1.132725779989647208e+01,4.245564156045020354e+01,9.065959762798173927e+01,1.285413968549594301e+02,2.275032662803687876e-04,-3.143032871093750000e+05
-7.553398592308178117e+00,1.950785273698982358e+00,3.247607317261033688e-02,5.788157215774802467e+00,3.813936205979195648e+01,9.170937157052361499e+01,1.284542071350770414e+02,2.556592144989485371e-04,-3.132084531250000000e+05
-7.522514374965002304e+00,8.106663290065945215e-01,6.062662241507468797e-02,1.171408164712460653e+01,3.522612684489163826e+01,8.880266562751160109e+01,1.285358957467229857e+02,2.474506591051607736e-04,-3.133700195312500000e+05
-7.513252324845739238e+00,2.936840395343930155e+00,6.279149341710418830e-02,1.188878664103932969e+01,2.800101976099506018e+01,9.010829954598416691e+01,1.284813894325405954e+02,2.503071591934183902e-04,-3.132192304687500000e+05
-7.540585121635459132e+00,2.088546986957593887e+00,2.880355760309271859e-02,8.228254277798706440e+00,4.100154501288003672e+01,8.961771608077212647e+01,1.284646004208731540e+02,1.499663075513247060e-04,-3.136324765625000000e+05
-7.524677804705945938e+00,1.494333258767615025e+00,4.627638002231441311e-02,9.808266987569810524e+00,3.010818293050260053e+01,9.002778811363313594e+01,1.284893642909801486e+02,2.689918598572392842e-04,-3.134344843750000000e+05
-7.564180626254198181e+00,8.931654574305284422e-01,4.474548211070766834e-02,1.308761127212627429e+01,3.564012277416911445e+01,8.941537067035017117e+01,1.285387519554015796e+02,2.566112590982898203e-04,-3.134354199218750000e+05
-7.614589614266316531e+00,4.195140123048918035e+00,4.988445914372073575e-02,3.902822282864909731e+00,3.398965495620400645e+01,9.187805770839894137e+01,1.284870029345373155e+02,3.800698989076461498e-04,-3.133476875000000000e+05
-7.518591623250220124e+00,2.697829256332975323e+00,4.940807192853848007e-02,1.179640461753834302e+01,2.934272121646956677e+01,9.067831600012542026e+01,1.284908922449461670e+02,2.451706138520924334e-04,-3.131587558593750000e+05
-7.505148319157807890e+00,3.315912053824018102e+00,1.077255495866436333e-02,8.525196615902220998e+00,2.311316178612297989e+01,9.172472136963564537e+01,1.284398415901053454e+02,1.858528235693737176e-04,-3.152275917968750000e+05
-7.513781993720455077e+00,-5.107276238146303271e-01,3.890625933798723401e-02,8.888898660741233471e+00,3.431839596077732324e+01,9.129260251194887132e+01,1.284960631501297144e+02,1.321436547023921654e-04,-3.150175898437500000e+05
-7.526781843996548815e+00,2.158832890899118340e+00,5.473218428077950004e-02,4.911556778145454771e+00,2.709907573018677596e+01,8.989292635877330895e+01,1.284735581608559585e+02,2.682022480877222317e-04,-3.154169453125000000e+05
-7.576629550089636567e+00,3.084932828057107557e+00,4.547493038021242773e-02,8.635704827358946289e+00,3.054991536261120189e+01,9.048408022473709877e+01,1.284815396781781658e+02,1.473161101584976500e-04,-3.132451191406250000e+05
-7.527364383010022308e+00,1.203739325371533164e+00,2.981147110766804373e-02,1.107648384066987646e+01,3.300300375635023187e+01,9.045180346682761297e+01,1.284423799499433301e+02,2.054590572745928503e-04,-3.132567597656250000e+05
-7.536036155791891566e+00,1.705064289782370457e+00,4.366455541556771985e-02,1.267354333022842106e+01,3.034474168232842217e+01,9.042621965352370239e+01,1.284764011846258143e+02,1.948735241180584452e-04,-3.131961816406250000e+05
-7.542891558094078519e+00,3.251464481247110960e+00,3.646887178710699062e-02,6.546085742727489887e+00,3.486884342644906098e+01,9.063887605098993561e+01,1.284872279984035117e+02,1.409037035433658748e-04,-3.132059277343750000e+05
-7.561438256199588537e+00,2.538106224579394166e+00,4.640433178381386109e-02,8.545734109254221167e+00,3.303445644014013283e+01,8.948099893072360089e+01,1.284316224590518232e+02,2.586264650935604799e-04,-3.131764648437500000e+05
-7.568305114339967332e+00,2.973847288568611358e+00,1.426510265470457006e-03,4.394589991249512551e+00,2.356728705781158340e+00,9.100413149767102539e+01,1.284051623346300062e+02,2.961687529540926581e-04,-3.178649960937500000e+05
-7.590213036505495836e+00,2.392285024679426275e+00,6.409030594970939465e-02,9.313683010367647341e+00,4.015958859377098378e+01,9.099005514146503515e+01,1.285266447264488647e+02,2.688807318771631360e-04,-3.140396601562500000e+05
-7.553398592308178117e+00,1.950785273698982358e+00,3.247607317261033688e-02,5.788157215774802467e+00,3.813936205979195648e+01,9.170937157052361499e+01,1.284542071350770414e+02,2.556592144989485371e-04,-3.132084531250000000e+05
-7.540058084716879883e+00,1.455532705201469934e+00,5.857984636572671072e-02,1.022575027679004123e+01,3.499053360510103516e+01,8.938864060243126630e+01,1.285265798729609799e+02,2.727194878181179744e-04,-3.133049335937500000e+05
-7.513286530567010679e+00,2.714198370569226082e+00,6.124899828777233268e-02,1.169505554412717174e+01,2.840899240158311656e+01,9.018478117269140171e+01,1.284823370530594104e+02,2.426762258084469654e-04,-3.132160625000000000e+05
-7.539168704155153833e+00,1.969141474946214609e+00,3.343084604627313133e-02,9.612389779227644482e+00,3.768332213747437720e+01,8.986946090206016891e+01,1.284682748402104266e+02,1.639491266632561760e-04,-3.134263789062500000e+05
-7.521588406492221601e+00,1.825169743907006481e+00,5.033706538199501923e-02,1.031997806792914574e+01,2.964734982958734832e+01,9.007036579812270816e+01,1.284874584518251197e+02,2.618548643085602729e-04,-3.133271601562500000e+05
-7.564180626254198181e+00,8.931654574305284422e-01,4.474548211070766834e-02,1.308761127212627429e+01,3.564012277416911445e+01,8.941537067035017117e+01,1.285387519554015796e+02,2.566112590982898203e-04,-3.134354199218750000e+05
-7.614589614266316531e+00,4.195140123048918035e+00,4.988445914372073575e-02,3.902822282864909731e+00,3.398965495620400645e+01,9.187805770839894137e+01,1.284870029345373155e+02,3.800698989076461498e-04,-3.133476875000000000e+05
-7.517746457157754136e+00,2.678573496072756299e+00,4.985810495510581419e-02,1.197901381036696122e+01,2.915051942067425728e+01,9.067968774486104166e+01,1.284910196896060768e+02,2.487970786029398409e-04,-3.131603339843750000e+05
-7.547270921293828927e+00,2.858547648418274356e+00,3.717459897655687323e-02,8.915641676078934097e+00,3.155426259322370086e+01,9.136092714099540046e+01,1.284828250277791710e+02,2.269668324896669594e-04,-3.131450410156250000e+05
-7.513781993720455077e+00,-5.107276238146303271e-01,3.890625933798723401e-02,8.888898660741233471e+00,3.431839596077732324e+01,9.129260251194887132e+01,1.284960631501297144e+02,1.321436547023921654e-04,-3.150175898437500000e+05
-7.526924845511337558e+00,1.924376788430315566e+00,4.861465455155014603e-02,6.424921356500134628e+00,2.854837033778471067e+01,9.003011935560924428e+01,1.284659045423243811e+02,2.528000670811140116e-04,-3.143373105468750000e+05
-7.576629550089636567e+00,3.084932828057107557e+00,4.547493038021242773e-02,8.635704827358946289e+00,3.054991536261120189e+01,9.048408022473709877e+01,1.284815396781781658e+02,1.473161101584976500e-04,-3.132451191406250000e+05
-7.530312332024960753e+00,1.575850670897521066e+00,2.783752002785022314e-02,1.155128171597588072e+01,3.271750839389013521e+01,9.026931475560132867e+01,1.284307284404972052e+02,2.213715793047616235e-04,-3.132201425781250000e+05
-7.544471259294163623e+00,1.972449682991350262e+00,4.433245130124943700e-02,1.173173960495828894e+01,3.073613400698278753e+01,9.058211863619416704e+01,1.284775396050027894e+02,2.147599889527584385e-04,-3.131803203125000000e+05
-7.541374479031112799e+00,3.419519092483956690e+00,3.587907273438102618e-02,6.079930467829442797e+00,3.481388133316610833e+01,9.072606419762149699e+01,1.284835563526642659e+02,1.326582740751048315e-04,-3.132065820312500000e+05
-7.561438256199588537e+00,2.538106224579394166e+00,4.640433178381386109e-02,8.545734109254221167e+00,3.303445644014013283e+01,8.948099893072360089e+01,1.284316224590518232e+02,2.586264650935604799e-04,-3.131764648437500000e+05
-7.568305114339967332e+00,2.973847288568611358e+00,1.426510265470457006e-03,4.394589991249512551e+00,2.356728705781158340e+00,9.100413149767102539e+01,1.284051623346300062e+02,2.961687529540926581e-04,-3.178649960937500000e+05
-7.590213036505495836e+00,2.392285024679426275e+00,6.409030594970939465e-02,9.313683010367647341e+00,4.015958859377098378e+01,9.099005514146503515e+01,1.285266447264488647e+02,2.688807318771631360e-04,-3.140396601562500000e+05
-7.553398592308178117e+00,1.950785273698982358e+00,3.247607317261033688e-02,5.788157215774802467e+00,3.813936205979195648e+01,9.170937157052361499e+01,1.284542071350770414e+02,2.556592144989485371e-04,-3.132084531250000000e+05
-7.540058084716879883e+00,1.455532705201469934e+00,5.857984636572671072e-02,1.022575027679004123e+01,3.499053360510103516e+01,8.938864060243126630e+01,1.285265798729609799e+02,2.727194878181179744e-04,-3.133049335937500000e+05
-7.513286530567010679e+00,2.714198370569226082e+00,6.124899828777233268e-02,1.169505554412717174e+01,2.840899240158311656e+01,9.018478117269140171e+01,1.284823370530594104e+02,2.426762258084469654e-04,-3.132160625000000000e+05
