m_disk,sb_law,r_in,d_r,inc,pa,mar_starflux,aug_starflux,jun_starflux,lnprob
-7.602254122183378371e+00,1.476161546438901295e+00,1.609737498124939492e+01,2.132924042029839740e+01,8.902274804410414788e+01,1.286121871899978260e+02,3.672643885410138828e-04,1.402077284127506841e-04,2.222243337415492675e-04,-3.145978496093750000e+05
-7.505470202601286722e+00,1.623983503794704575e+00,2.979477658060178946e+00,3.399304866186287200e+01,8.816797321253966402e+01,1.285085511615588700e+02,3.643676747200897932e-04,1.662740440490136236e-04,2.342625171437627096e-04,-3.143372519531250000e+05
-7.481853266677134684e+00,1.445132065149517420e+00,1.580546276543354978e+01,3.502780666971375467e+01,8.933126367031600523e+01,1.284535468989467404e+02,3.652430318232258166e-04,1.434009406978502797e-04,2.191012793765472345e-04,-3.188844765625000000e+05
-7.567733468637672267e+00,2.444509404184256329e+00,1.296777336231674838e+01,2.080218973387526660e+01,8.827718939892804428e+01,1.284532483639366660e+02,3.680627576013687386e-04,1.375501821815354106e-04,2.308805747246688012e-04,-3.147069003906250000e+05
-7.506847450281004974e+00,-5.452286411497260232e-01,2.415148652056298673e+01,1.257736876900541034e+01,8.780892736842335466e+01,1.285001804311741864e+02,4.424913512279825050e-04,1.536778849993880223e-04,2.215340528175779584e-04,-3.139974648437500000e+05
-7.513977269347202892e+00,-5.035961687292211941e-02,7.502614635317619296e+00,3.241086659547136151e+01,8.890767488140782859e+01,1.285516056277918722e+02,3.737909519415727531e-04,1.509246114858874043e-04,2.357150625470286751e-04,-3.144838105468750000e+05
-7.634718222788833941e+00,7.801966076673206851e-01,-2.673685016577680429e+00,3.374117084769086006e+01,8.852135481606462974e+01,1.284836302889055446e+02,4.325169717956049015e-04,1.430108450499854194e-04,2.516033636520316474e-04,-inf
-7.554322940919477425e+00,1.860814441232371719e+00,1.549321648885898384e+01,4.427616440310778501e+01,8.982069009682243177e+01,1.285388428143937176e+02,4.811626660883752508e-04,1.406199971887504407e-04,2.180016247195651975e-04,-3.320003964843750000e+05
-7.537730367631572115e+00,1.576573664481623060e+00,1.253291987617949310e+01,1.010448755016468780e+01,8.814683547882584946e+01,1.283912165476455982e+02,4.689548195532112617e-04,1.524811189118959473e-04,2.457265103585181808e-04,-3.165193027343750000e+05
-7.559244006477157996e+00,1.144750127562807585e+00,3.034101856019713495e+00,4.259222029517609087e+01,8.889055996882282784e+01,1.283795428100518166e+02,4.006305600865135903e-04,1.581151073391229007e-04,2.446773972857271048e-04,-3.153152011718750000e+05
-7.545935403802283226e+00,7.172654170814392049e-01,4.015446233331976700e+00,4.090082930273401729e+01,8.849301395334515519e+01,1.286735382179807914e+02,4.291696404332818971e-04,1.588281396848743626e-04,2.319456516154692405e-04,-3.148846289062500000e+05
-7.471132666377313214e+00,1.421953167561510689e+00,1.659782648416818773e-01,4.072853330321468945e+01,8.921706599005041483e+01,1.284670853997604070e+02,3.576561343027214292e-04,1.498837760578861273e-04,2.297652296956767515e-04,-3.153985683593750000e+05
-7.592316306779308022e+00,3.959340469703513943e-01,1.562013448188880815e+01,3.769128364445352730e+01,8.736068895748020680e+01,1.284794074852102312e+02,3.765428231558727839e-04,1.586370988657329756e-04,2.276820531230638834e-04,-3.150199062500000000e+05
-7.496298213427546209e+00,1.304453494351112131e+00,1.628077563987870491e+01,2.379462358785246323e+01,8.873361096330143027e+01,1.285413137292796932e+02,3.457308557043216758e-04,1.536190847051871673e-04,2.398616120146469821e-04,-3.143816875000000000e+05
-7.538721180497396368e+00,1.459965880035827279e-01,8.745578333526356829e+00,3.848684380507437908e+01,8.874322973903385048e+01,1.283822955507676227e+02,3.405295413868316377e-04,1.639327620205303232e-04,2.333919508744388143e-04,-3.150832519531250000e+05
-7.536280744616626670e+00,4.164634844130284286e+00,1.558128138360986625e+00,3.315972216258732175e+01,8.934483163642249792e+01,1.285143804179012932e+02,3.453032172574681301e-04,1.639114032910155016e-04,2.065113784061659279e-04,-3.165605351562500000e+05
-7.652526783562469070e+00,3.736656952363888173e+00,1.728373676727204256e+01,3.675584181676192230e+01,8.819026598218324864e+01,1.284588942463544470e+02,4.460612342095222026e-04,1.645858517751263401e-04,2.432231059981233769e-04,-3.157638398437500000e+05
-7.533490123304591890e+00,-9.678941616088221345e-02,1.284469294706275910e+01,2.802398144958274173e+01,8.930573429151787934e+01,1.283621647244551696e+02,3.985489263188999286e-04,1.609160196876522405e-04,2.437508573807774747e-04,-3.144661855468750000e+05
-7.527988744900908635e+00,9.810280710969500051e-01,1.275119584588382438e+01,1.253883583975398963e+01,9.042253955694563672e+01,1.284583437004539519e+02,3.798529976579619071e-04,1.506225996622671847e-04,2.368798951622044053e-04,-inf
-7.562259624590301321e+00,8.409056313858344067e-01,2.427344334464113729e+01,2.694668638581596554e+01,8.859612036698015913e+01,1.283431408379672405e+02,3.756627852731850422e-04,1.435956628381763783e-04,2.409220533620165148e-04,-3.153846796875000000e+05
-7.556051770589701455e+00,1.278798557658445301e+00,9.682051856132225964e+00,2.411327055170855260e+01,8.917414573007276601e+01,1.285425682131619567e+02,4.051990814237192966e-04,1.559159676229199818e-04,2.282691585848069271e-04,-3.146091894531250000e+05
